bond_lot,bond_slot,bond_x_true,bond_y_true,dt_job,dt_x_true,dt_y_true,core_wafer,core_lot,core_slot,core_lot_at_dt,core_slot_at_dt,core_x_true,core_y_true
BS-2601-001,01,11,9,DT-EQP-01_20260511T0000_T01,1,3,WF.010120,CL-2601-001,20,CL-2601-001,20,5,0
BS-2601-001,01,11,8,DT-EQP-01_20260511T0000_T01,1,4,WF.010120,CL-2601-001,20,CL-2601-001,20,11,9
BS-2601-001,01,11,7,DT-EQP-01_20260511T0000_T01,1,5,WF.010120,CL-2601-001,20,CL-2601-001,20,3,3
BS-2601-001,01,11,4,DT-EQP-01_20260511T0000_T01,1,8,WF.010120,CL-2601-001,20,CL-2601-001,20,5,11
BS-2601-001,01,10,7,DT-EQP-01_20260511T0000_T01,2,5,WF.010120,CL-2601-001,20,CL-2601-001,20,3,2
BS-2601-001,01,10,6,DT-EQP-01_20260511T0000_T01,2,6,WF.010120,CL-2601-001,20,CL-2601-001,20,5,10
BS-2601-001,01,10,5,DT-EQP-01_20260511T0000_T01,2,7,WF.010120,CL-2601-001,20,CL-2601-001,20,5,4
BS-2601-001,01,9,11,DT-EQP-01_20260511T0000_T01,3,1,WF.010120,CL-2601-001,20,CL-2601-001,20,0,7
BS-2601-001,01,9,7,DT-EQP-01_20260511T0000_T01,3,5,WF.010120,CL-2601-001,20,CL-2601-001,20,9,7
BS-2601-001,01,9,5,DT-EQP-01_20260511T0000_T01,3,7,WF.010120,CL-2601-001,20,CL-2601-001,20,7,5
BS-2601-001,01,8,11,DT-EQP-01_20260511T0000_T01,4,1,WF.010120,CL-2601-001,20,CL-2601-001,20,8,4
BS-2601-001,01,8,6,DT-EQP-01_20260511T0000_T01,4,6,WF.010120,CL-2601-001,20,CL-2601-001,20,11,3
BS-2601-001,01,8,1,DT-EQP-01_20260511T0000_T01,4,11,WF.010120,CL-2601-001,20,CL-2601-001,20,5,7
BS-2601-001,01,7,11,DT-EQP-01_20260511T0000_T01,5,1,WF.010120,CL-2601-001,20,CL-2601-001,20,8,10
BS-2601-001,01,7,8,DT-EQP-01_20260511T0000_T01,5,4,WF.010120,CL-2601-001,20,CL-2601-001,20,7,11
BS-2601-001,01,7,6,DT-EQP-01_20260511T0000_T01,5,6,WF.010120,CL-2601-001,20,CL-2601-001,20,6,8
BS-2601-001,01,7,4,DT-EQP-01_20260511T0000_T01,5,8,WF.010120,CL-2601-001,20,CL-2601-001,20,2,2
BS-2601-001,01,7,3,DT-EQP-01_20260511T0000_T01,5,9,WF.010120,CL-2601-001,20,CL-2601-001,20,6,2
BS-2601-001,01,7,2,DT-EQP-01_20260511T0000_T01,5,10,WF.010120,CL-2601-001,20,CL-2601-001,20,4,10
BS-2601-001,01,6,7,DT-EQP-01_20260511T0000_T01,6,5,WF.010120,CL-2601-001,20,CL-2601-001,20,6,10
BS-2601-001,01,6,5,DT-EQP-01_20260511T0000_T01,6,7,WF.010120,CL-2601-001,20,CL-2601-001,20,8,6
BS-2601-001,01,5,11,DT-EQP-01_20260511T0000_T01,7,1,WF.010120,CL-2601-001,20,CL-2601-001,20,4,3
BS-2601-001,01,5,9,DT-EQP-01_20260511T0000_T01,7,3,WF.010120,CL-2601-001,20,CL-2601-001,20,7,9
BS-2601-001,01,5,8,DT-EQP-01_20260511T0000_T01,7,4,WF.010120,CL-2601-001,20,CL-2601-001,20,11,8
BS-2601-001,01,5,6,DT-EQP-01_20260511T0000_T01,7,6,WF.010120,CL-2601-001,20,CL-2601-001,20,6,9
BS-2601-001,01,5,3,DT-EQP-01_20260511T0000_T01,7,9,WF.010120,CL-2601-001,20,CL-2601-001,20,7,10
BS-2601-001,01,5,2,DT-EQP-01_20260511T0000_T01,7,10,WF.010120,CL-2601-001,20,CL-2601-001,20,5,12
BS-2601-001,01,4,6,DT-EQP-01_20260511T0000_T01,8,6,WF.010120,CL-2601-001,20,CL-2601-001,20,0,5
BS-2601-001,01,4,2,DT-EQP-01_20260511T0000_T01,8,10,WF.010120,CL-2601-001,20,CL-2601-001,20,5,2
BS-2601-001,01,4,1,DT-EQP-01_20260511T0000_T01,8,11,WF.010120,CL-2601-001,20,CL-2601-001,20,6,0
BS-2601-001,01,3,9,DT-EQP-01_20260511T0000_T01,9,3,WF.010120,CL-2601-001,20,CL-2601-001,20,9,2
BS-2601-001,01,3,7,DT-EQP-01_20260511T0000_T01,9,5,WF.010120,CL-2601-001,20,CL-2601-001,20,10,9
BS-2601-001,01,3,5,DT-EQP-01_20260511T0000_T01,9,7,WF.010120,CL-2601-001,20,CL-2601-001,20,5,5
BS-2601-001,01,3,3,DT-EQP-01_20260511T0000_T01,9,9,WF.010120,CL-2601-001,20,CL-2601-001,20,3,9
BS-2601-001,01,3,1,DT-EQP-01_20260511T0000_T01,9,11,WF.010120,CL-2601-001,20,CL-2601-001,20,7,12
BS-2601-001,01,2,8,DT-EQP-01_20260511T0000_T01,10,4,WF.010120,CL-2601-001,20,CL-2601-001,20,2,8
BS-2601-001,01,2,7,DT-EQP-01_20260511T0000_T01,10,5,WF.010120,CL-2601-001,20,CL-2601-001,20,6,4
BS-2601-001,01,2,6,DT-EQP-01_20260511T0000_T01,10,6,WF.010120,CL-2601-001,20,CL-2601-001,20,7,2
BS-2601-001,01,2,5,DT-EQP-01_20260511T0000_T01,10,7,WF.010120,CL-2601-001,20,CL-2601-001,20,8,2
BS-2601-001,01,2,4,DT-EQP-01_20260511T0000_T01,10,8,WF.010120,CL-2601-001,20,CL-2601-001,20,2,10
BS-2601-001,01,1,9,DT-EQP-01_20260511T0000_T01,11,3,WF.010120,CL-2601-001,20,CL-2601-001,20,3,5
BS-2601-001,01,1,8,DT-EQP-01_20260511T0000_T01,11,4,WF.010120,CL-2601-001,20,CL-2601-001,20,1,3
BS-2601-001,01,1,7,DT-EQP-01_20260511T0000_T01,11,5,WF.010120,CL-2601-001,20,CL-2601-001,20,7,0
BS-2601-001,01,1,3,DT-EQP-01_20260511T0000_T01,11,9,WF.010120,CL-2601-001,20,CL-2601-001,20,1,5
BS-2601-001,02,12,7,DT-EQP-01_20260511T0000_T02,0,5,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,10,4
BS-2601-001,02,12,6,DT-EQP-01_20260511T0000_T02,0,6,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,9,10
BS-2601-001,02,12,5,DT-EQP-01_20260511T0000_T02,0,7,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,11,4
BS-2601-001,02,11,8,DT-EQP-01_20260511T0000_T02,1,4,WF.010515,CL-2601-005,15,CL-2601-005-A5,15,12,5
BS-2601-001,02,11,6,DT-EQP-01_20260511T0000_T02,1,6,WF.010515,CL-2601-005,15,CL-2601-005-A5,15,7,10
BS-2601-001,02,11,5,DT-EQP-01_20260511T0000_T02,1,7,WF.010517,CL-2601-005,17,CL-2601-005-A5,17,4,6
BS-2601-001,02,10,6,DT-EQP-01_20260511T0000_T02,2,6,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,3,2
BS-2601-001,02,10,2,DT-EQP-01_20260511T0000_T02,2,10,WF.010515,CL-2601-005,15,CL-2601-005-A5,15,7,4
BS-2601-001,02,9,11,DT-EQP-01_20260511T0000_T02,3,1,WF.010517,CL-2601-005,17,CL-2601-005-A5,17,3,8
BS-2601-001,02,9,4,DT-EQP-01_20260511T0000_T02,3,8,WF.010515,CL-2601-005,15,CL-2601-005-A5,15,7,1
BS-2601-001,02,9,3,DT-EQP-01_20260511T0000_T02,3,9,WF.010517,CL-2601-005,17,CL-2601-005-A5,17,2,3
BS-2601-001,02,9,2,DT-EQP-01_20260511T0000_T02,3,10,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,1,9
BS-2601-001,02,8,11,DT-EQP-01_20260511T0000_T02,4,1,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,7,5
BS-2601-001,02,8,4,DT-EQP-01_20260511T0000_T02,4,8,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,8,10
BS-2601-001,02,8,2,DT-EQP-01_20260511T0000_T02,4,10,WF.010515,CL-2601-005,15,CL-2601-005-A5,15,5,3
BS-2601-001,02,7,9,DT-EQP-01_20260511T0000_T02,5,3,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,2,8
BS-2601-001,02,7,6,DT-EQP-01_20260511T0000_T02,5,6,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,5,10
BS-2601-001,02,7,5,DT-EQP-01_20260511T0000_T02,5,7,WF.010517,CL-2601-005,17,CL-2601-005-A5,17,7,4
BS-2601-001,02,7,0,DT-EQP-01_20260511T0000_T02,5,12,WF.010515,CL-2601-005,15,CL-2601-005-A5,15,4,11
BS-2601-001,02,6,11,DT-EQP-01_20260511T0000_T02,6,1,WF.010515,CL-2601-005,15,CL-2601-005-A5,15,5,11
BS-2601-001,02,6,10,DT-EQP-01_20260511T0000_T02,6,2,WF.010517,CL-2601-005,17,CL-2601-005-A5,17,7,7
BS-2601-001,02,6,9,DT-EQP-01_20260511T0000_T02,6,3,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,2,6
BS-2601-001,02,6,3,DT-EQP-01_20260511T0000_T02,6,9,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,6,6
BS-2601-001,02,6,0,DT-EQP-01_20260511T0000_T02,6,12,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,9,1
BS-2601-001,02,5,11,DT-EQP-01_20260511T0000_T02,7,1,WF.010517,CL-2601-005,17,CL-2601-005-A5,17,11,5
BS-2601-001,02,5,9,DT-EQP-01_20260511T0000_T02,7,3,WF.010515,CL-2601-005,15,CL-2601-005-A5,15,8,3
BS-2601-001,02,5,6,DT-EQP-01_20260511T0000_T02,7,6,WF.010517,CL-2601-005,17,CL-2601-005-A5,17,9,6
BS-2601-001,02,5,4,DT-EQP-01_20260511T0000_T02,7,8,WF.010517,CL-2601-005,17,CL-2601-005-A5,17,6,8
BS-2601-001,02,5,1,DT-EQP-01_20260511T0000_T02,7,11,WF.010201,CL-2601-002,01,CL-2601-002-A4,01,9,11
BS-2601-001,02,4,11,DT-EQP-01_20260511T0000_T02,8,1,WF.010515,CL-2601-005,15,CL-2601-005-A5,15,2,8
BS-2601-001,02,4,8,DT-EQP-01_20260511T0000_T02,8,4,WF.010517,CL-2601-005,17,CL-2601-005-A5,17,3,3
