wafer_id,event_time,lot,slot
WF.010101,2026-05-01 00:01:00,CL-2601-001,01
WF.010102,2026-05-01 00:02:00,CL-2601-001,02
WF.010103,2026-05-01 00:03:00,CL-2601-001,03
WF.010104,2026-05-01 00:04:00,CL-2601-001,04
WF.010105,2026-05-01 00:05:00,CL-2601-001,05
WF.010106,2026-05-01 00:06:00,CL-2601-001,06
WF.010107,2026-05-01 00:07:00,CL-2601-001,07
WF.010108,2026-05-01 00:08:00,CL-2601-001,08
WF.010109,2026-05-01 00:09:00,CL-2601-001,09
WF.010110,2026-05-01 00:10:00,CL-2601-001,10
WF.010111,2026-05-01 00:11:00,CL-2601-001,11
WF.010112,2026-05-01 00:12:00,CL-2601-001,12
WF.010113,2026-05-01 00:13:00,CL-2601-001,13
WF.010114,2026-05-01 00:14:00,CL-2601-001,14
WF.010115,2026-05-01 00:15:00,CL-2601-001,15
WF.010116,2026-05-01 00:16:00,CL-2601-001,16
WF.010117,2026-05-01 00:17:00,CL-2601-001,17
WF.010118,2026-05-01 00:18:00,CL-2601-001,18
WF.010119,2026-05-01 00:19:00,CL-2601-001,19
WF.010120,2026-05-01 00:20:00,CL-2601-001,20
WF.010121,2026-05-01 00:21:00,CL-2601-001,21
WF.010122,2026-05-01 00:22:00,CL-2601-001,22
WF.010123,2026-05-01 00:23:00,CL-2601-001,23
WF.010124,2026-05-01 00:24:00,CL-2601-001,24
WF.010125,2026-05-01 00:25:00,CL-2601-001,25
WF.010201,2026-05-01 00:01:00,CL-2601-002,01
WF.010202,2026-05-01 00:02:00,CL-2601-002,02
WF.010203,2026-05-01 00:03:00,CL-2601-002,03
WF.010204,2026-05-01 00:04:00,CL-2601-002,04
WF.010205,2026-05-01 00:05:00,CL-2601-002,05
WF.010206,2026-05-01 00:06:00,CL-2601-002,06
WF.010207,2026-05-01 00:07:00,CL-2601-002,07
WF.010208,2026-05-01 00:08:00,CL-2601-002,08
WF.010209,2026-05-01 00:09:00,CL-2601-002,09
WF.010210,2026-05-01 00:10:00,CL-2601-002,10
WF.010211,2026-05-01 00:11:00,CL-2601-002,11
WF.010212,2026-05-01 00:12:00,CL-2601-002,12
WF.010213,2026-05-01 00:13:00,CL-2601-002,13
WF.010214,2026-05-01 00:14:00,CL-2601-002,14
WF.010215,2026-05-01 00:15:00,CL-2601-002,15
WF.010216,2026-05-01 00:16:00,CL-2601-002,16
WF.010217,2026-05-01 00:17:00,CL-2601-002,17
WF.010218,2026-05-01 00:18:00,CL-2601-002,18
WF.010219,2026-05-01 00:19:00,CL-2601-002,19
WF.010220,2026-05-01 00:20:00,CL-2601-002,20
WF.010221,2026-05-01 00:21:00,CL-2601-002,21
WF.010222,2026-05-01 00:22:00,CL-2601-002,22
WF.010223,2026-05-01 00:23:00,CL-2601-002,23
WF.010224,2026-05-01 00:24:00,CL-2601-002,24
WF.010225,2026-05-01 00:25:00,CL-2601-002,25
WF.010301,2026-05-01 00:01:00,CL-2601-003,01
WF.010302,2026-05-01 00:02:00,CL-2601-003,02
WF.010303,2026-05-01 00:03:00,CL-2601-003,03
WF.010304,2026-05-01 00:04:00,CL-2601-003,04
WF.010305,2026-05-01 00:05:00,CL-2601-003,05
WF.010306,2026-05-01 00:06:00,CL-2601-003,06
WF.010307,2026-05-01 00:07:00,CL-2601-003,07
WF.010308,2026-05-01 00:08:00,CL-2601-003,08
WF.010309,2026-05-01 00:09:00,CL-2601-003,09
WF.010310,2026-05-01 00:10:00,CL-2601-003,10
WF.010311,2026-05-01 00:11:00,CL-2601-003,11
WF.010312,2026-05-01 00:12:00,CL-2601-003,12
WF.010313,2026-05-01 00:13:00,CL-2601-003,13
WF.010314,2026-05-01 00:14:00,CL-2601-003,14
